"field_domain_id","field_site_id","field_site_name","terrestrial","aquatics","phenology","ticks","beetles","phenocam_code","phenocam_roi","phenocam_vegetation","field_site_type","field_site_subtype","field_colocated_site","field_site_host","field_site_url","field_nonneon_research_allowed","field_access_details","field_neon_field_operations_office","field_latitude","field_longitude","field_geodetic_datum","field_utm_northing","field_utm_easting","field_utm_zone","field_site_county","field_site_state","field_site_country","field_mean_elevation_m","field_minimum_elevation_m","field_maximum_elevation_m","field_mean_annual_temperature_C","field_mean_annual_precipitation_mm","field_dominant_wind_direction","field_mean_canopy_height_m","field_dominant_nlcd_classes","field_domint_plant_species","field_usgs_huc","field_watershed_name","field_watershed_size_km2","field_lake_depth_mean_m","field_lake_depth_max_m","field_tower_height_m","field_usgs_geology_unit","field_megapit_soil_family","field_soil_subgroup","field_avg_number_of_green_days","field_avg_grean_increase_doy","field_avg_green_max_doy","field_avg_green_decrease_doy","field_avg_green_min_doy","field_phenocams","field_number_tower_levels","neon_url"
"D10","ARIK","Arikaree River NEON",0,1,0,0,0,NA,NA,NA,"Core Aquatic","Wadeable Stream",NA,"The Nature Conservancy","https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/fox-ranch/","Yes","Reseachers should coordinate with the site manager.","Domain 10/13 Support Facility",39.758206,-102.44715,"WGS84",4404042.549,718694.3752,"13N","Yuma","CO","USA",1179,NA,NA,10.4,452,NA,NA,"Emergent Herbaceous Wetlands|Grassland/Herbaceous|Woody Wetlands",NA,"[h10250001](https://water.usgs.gov/lookup/getwatershed?10250001)","Lower Sappa",2631.8,NA,NA,NA,"COTo;0|COQe;0",NA,NA,NA,NA,NA,NA,NA,"[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D10.ARIK.DP1.20002)",NA,"https://www.neonscience.org/field-sites/arik"
"D03","BARC","Lake Barco NEON",0,1,0,0,0,NA,NA,NA,"Core Aquatic","Lake","OSBS","University of Florida Foundation","https://ordway-swisher.ufl.edu/ResearchUse.aspx","Yes","This area is a very active research community and will required a site research permit.","Domain 03 Support Facility",29.675982,-82.008414,"WGS84",3283362.548,402358.9734,"17N","Putnam","FL","USA",27,NA,NA,20.9,1308,NA,NA,"Shrub/Scrub",NA,"[h03080103](https://water.usgs.gov/lookup/getwatershed?03080103)","Lower St. Johns",31.3,3.3,6.7,NA,"FLPOc;0",NA,NA,NA,NA,NA,NA,NA,"[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.BARC.DP1.20002)",NA,"https://www.neonscience.org/field-sites/barc"
"D17","BIGC","Upper Big Creek NEON",0,1,0,0,0,NA,NA,NA,"Gradient Aquatic","Wadeable Stream",NA,"US Forest Service","https://www.fs.usda.gov/sierra/","Yes","Researchers should coordinate directly with the US Forest Service for permitting and approval.","Domain 17 Support Facility",37.059719,-119.25755,"WGS84",4103686.499,299408.5848,"11N","Fresno","CA","USA",1197,NA,NA,13.4,900,NA,NA,"Evergreen Forest",NA,"[h18030010](https://water.usgs.gov/lookup/getwatershed?18030010)","Upper King",10.9,NA,NA,NA,"CAgrMZ3;0",NA,NA,NA,NA,NA,NA,NA,"[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D17.BIGC.DP1.20002)",NA,"https://www.neonscience.org/field-sites/bigc"
"D12","BLDE","Blacktail Deer Creek NEON",0,1,0,0,0,NA,NA,NA,"Core Aquatic","Wadeable Stream","YELL","National Park Service","https://irma.nps.gov/rprs/","Limited","The National Park Service is open to additional research activities taking place in this area. Apply via IRMA Permitting portal. NEON research area is limited to additional research due to sensitivity.","Domain 12 Support Facility",44.95011,-110.58715,"WGS84",4977491.173,532567.1216,"12N","Park","WY","USA",2053,NA,NA,3.6,481,NA,NA,"Emergent Herbaceous Wetlands|Shrub/Scrub",NA,"[h10070001](https://water.usgs.gov/lookup/getwatershed?10070001)","Yellowstone Headwaters",37.8,NA,NA,NA,"WYQu;0",NA,NA,NA,NA,NA,NA,NA,"[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D12.BLDE.DP1.20002)",NA,"https://www.neonscience.org/field-sites/blde"
"D11","BLUE","Blue River NEON",0,1,0,0,0,NA,NA,NA,"Gradient Aquatic","Wadeable Stream",NA,"The Nature Conservancy","https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/okayanahli-preserve/","Yes","Reseachers should coordinate with the site manager.","Domain 11 Support Facility",34.444218,-96.624201,"WGS84",3813972.213,718273.9768,"14N","Johnston","OK","USA",289,NA,NA,16.4,1041,NA,NA,"Grassland/Herbaceous|Pasture/Hay",NA,"[h11140102](https://water.usgs.gov/lookup/getwatershed?11140102)","Blue",322.2,NA,NA,NA,"OKQal;0",NA,NA,NA,NA,NA,NA,NA,"[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D11.BLUE.DP1.20002)",NA,"https://www.neonscience.org/field-sites/blue"
"D08","BLWA","Black Warrior River NEON",0,1,0,0,0,NA,NA,NA,"Gradient Aquatic","Non-wadeable River","DELA","US Army Corps of Engineers|Private","https://www.sam.usace.army.mil/|","Limited / Very Limited","This area is primarily intended to provide recreational opportunities and is also classified as a hunting area. As such, access is very limited but potentially possible. / Very limited available via private land owner.","Domain 08 Support Facility",32.541529,-87.798151,"WGS84",3600743.438,425055.8239,"16N","Greene","AL","USA",22,NA,NA,17.6,1372,NA,NA,"Woody Wetlands",NA,"[h03160113](https://water.usgs.gov/lookup/getwatershed?03160113)","Lower Black Warrior",16159.4,NA,NA,NA,"ALHalt;0",NA,NA,NA,NA,NA,NA,NA,"[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.BLWA.DP1.20002)",NA,"https://www.neonscience.org/field-sites/blwa"
"D19","CARI","Caribou Creek NEON",0,1,0,0,0,NA,NA,NA,"Core Aquatic","Wadeable Stream","BONA","Alaska Department of Natural Resources","http://dnr.alaska.gov/","Yes","NEON site is colocated with Boreal LTER. Please allow extra lead time (3-6 months prior to planned start) for coordination requirements; coordinate with site manager","Domain 18/19 Support Facility",65.153224,-147.50397,"WGS84",7225606.728,476441.523,"6N","Fairbanks North Star","AK","USA",225,NA,NA,-3,262,NA,NA,"Woody Wetlands",NA,"[h19040509](https://water.usgs.gov/lookup/getwatershed?19040509)","Tolovana River",31,NA,NA,NA,"A003.LG002_114|E191.LG002_930",NA,NA,115,"135","180","210","250","[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D19.CARI.DP1.20002)",NA,"https://www.neonscience.org/field-sites/cari"
"D13","COMO","Como Creek NEON",0,1,0,0,0,NA,NA,NA,"Core Aquatic","Wadeable Stream","NIWO","US Forest Service","https://cuboulder.qualtrics.com/jfe/form/SV_3O9QymZrswv5U6F","Yes","Reseachers should coordinate with the site manager and submit a site research permit.","Domain 10/13 Support Facility",40.034962,-105.54416,"WGS84",4431779.634,453513.6657,"13N","Boulder","CO","USA",3021,NA,NA,2,841,NA,NA,"Shrub/Scrub",NA,"[h10190005](https://water.usgs.gov/lookup/getwatershed?10190005)","St. Vrain",3.6,NA,NA,NA,"COXb;0|COQd;0",NA,NA,NA,NA,NA,NA,NA,"[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D13.COMO.DP1.20002)",NA,"https://www.neonscience.org/field-sites/como"
"D05","CRAM","Crampton Lake NEON",0,1,0,0,0,NA,NA,NA,"Core Aquatic","Lake",NA,"University of Notre Dame","https://underc.nd.edu/underc-west/research-opportunities/","Yes","UNDERC encourages research; subject to evaluation based on potential for scientific advancement, impact on the site, and consistency and compatibility with other designated, non-research, uses of the property.","Domain 05 Support Facility",46.209675,-89.473688,"WGS84",5120489.547,308836.941,"16N","Vilas","WI","USA",509,NA,NA,4.3,794,NA,NA,"Woody Wetlands",NA,"[h04020102](https://water.usgs.gov/lookup/getwatershed?04020102)","Ontonagon",0.6,4.6,19,NA,"WIAgn;0",NA,NA,NA,NA,NA,NA,NA,"[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.CRAM.DP1.20002)",NA,"https://www.neonscience.org/field-sites/cram"
"D04","CUPE","Rio Cupeyes NEON",0,1,0,0,0,NA,NA,NA,"Core Aquatic","Wadeable Stream",NA,"Commonwealth of Puerto Rico|Private (access)",NA,"Limited","Please note this area is an active farm. Research activities are limited and must not interfere with farming activites; gates must remain closed at all times to avoid cattle walking out. Start permitting > 6 months prior to scheduled start.","Domain 04 Support Facility",18.11352,-66.98676,"WGS84",2003908.949,713025.6777,"19N","San German Municipio","PR","USA",157,NA,NA,NA,NA,NA,NA,"Evergreen Forest",NA,"[h21010003](https://water.usgs.gov/lookup/getwatershed?21010003)","Culebrinas-Guanajibo",4.3,NA,NA,NA,"KJs",NA,NA,NA,NA,NA,NA,NA,"[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D04.CUPE.DP1.20002)",NA,"https://www.neonscience.org/field-sites/cupe"
