"datetime","site_id","variable","parameter","daily_mean"
2022-11-14,"BARC","air_pressure",1,101492.811848958
2022-11-14,"BARC","air_temperature",1,17.1284172058106
2022-11-14,"BARC","eastward_wind",1,-2.14347458382448
2022-11-14,"BARC","northward_wind",1,-2.14347458382448
2022-11-14,"BARC","precipitation_flux",1,5.78703720950418e-06
2022-11-14,"BARC","relative_humidity",1,0.633583693504334
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",1,359.5
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",1,123.25
2022-11-14,"BARC","air_pressure",2,101533.358398438
2022-11-14,"BARC","air_temperature",2,15.703049214681
2022-11-14,"BARC","eastward_wind",2,-1.3827873505652
2022-11-14,"BARC","northward_wind",2,-1.3827873505652
2022-11-14,"BARC","precipitation_flux",2,2.31481484930824e-06
2022-11-14,"BARC","relative_humidity",2,0.596905177434286
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",2,348.263961791992
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",2,62
2022-11-14,"BARC","air_pressure",3,101462.562174479
2022-11-14,"BARC","air_temperature",3,16.4595596313477
2022-11-14,"BARC","eastward_wind",3,-1.00819779684146
2022-11-14,"BARC","northward_wind",3,-1.00819779684146
2022-11-14,"BARC","precipitation_flux",3,3.47222236019594e-06
2022-11-14,"BARC","relative_humidity",3,0.607034989992777
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",3,352.75
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",3,68.75
2022-11-14,"BARC","air_pressure",4,101526.344726562
2022-11-14,"BARC","air_temperature",4,16.4223777770997
2022-11-14,"BARC","eastward_wind",4,-1.19941004862388
2022-11-14,"BARC","northward_wind",4,-1.19941004862388
2022-11-14,"BARC","precipitation_flux",4,6.94444472039187e-06
2022-11-14,"BARC","relative_humidity",4,0.683602441151937
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",4,344.75
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",4,113.5
2022-11-14,"BARC","air_pressure",5,101541.453776042
2022-11-14,"BARC","air_temperature",5,16.9789204915365
2022-11-14,"BARC","eastward_wind",5,-3.23465652267138
2022-11-14,"BARC","northward_wind",5,-3.23465652267138
2022-11-14,"BARC","precipitation_flux",5,1.15740742465412e-05
2022-11-14,"BARC","relative_humidity",5,0.705456393559774
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",5,357.831329345703
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",5,118.75
2022-11-14,"BARC","air_pressure",6,101606.869466146
2022-11-14,"BARC","air_temperature",6,16.0605588277181
2022-11-14,"BARC","eastward_wind",6,-2.71239141623179
2022-11-14,"BARC","northward_wind",6,-2.71239141623179
2022-11-14,"BARC","precipitation_flux",6,4.62962969861649e-06
2022-11-14,"BARC","relative_humidity",6,0.648157836596171
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",6,343.75
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",6,83.25
2022-11-14,"BARC","air_pressure",7,101486.052408854
2022-11-14,"BARC","air_temperature",7,16.516510518392
2022-11-14,"BARC","eastward_wind",7,-1.28196020672719
2022-11-14,"BARC","northward_wind",7,-1.28196020672719
2022-11-14,"BARC","precipitation_flux",7,1.15740742465412e-06
2022-11-14,"BARC","relative_humidity",7,0.644871923128764
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",7,349.165809631348
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",7,83
2022-11-14,"BARC","air_pressure",8,101603.730794271
2022-11-14,"BARC","air_temperature",8,14.7828908284505
2022-11-14,"BARC","eastward_wind",8,-3.40960298230251
2022-11-14,"BARC","northward_wind",8,-3.40960298230251
2022-11-14,"BARC","precipitation_flux",8,1.15740742465412e-06
2022-11-14,"BARC","relative_humidity",8,0.656779475212097
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",8,331
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",8,89.5
2022-11-14,"BARC","air_pressure",9,101508.91015625
2022-11-14,"BARC","air_temperature",9,16.2571556091309
2022-11-14,"BARC","eastward_wind",9,-3.48230553666751
2022-11-14,"BARC","northward_wind",9,-3.48230553666751
2022-11-14,"BARC","precipitation_flux",9,9.25925913853226e-06
2022-11-14,"BARC","relative_humidity",9,0.647342702547709
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",9,346.484619140625
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",9,134.25
2022-11-14,"BARC","air_pressure",10,101491.121744792
2022-11-14,"BARC","air_temperature",10,16.0635965983074
2022-11-14,"BARC","eastward_wind",10,-0.922388998170694
2022-11-14,"BARC","northward_wind",10,-0.922388998170694
2022-11-14,"BARC","precipitation_flux",10,1.15740742465412e-06
2022-11-14,"BARC","relative_humidity",10,0.597130138079325
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",10,320.392395019531
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",10,159.25
2022-11-14,"BARC","air_pressure",11,101501.586263021
2022-11-14,"BARC","air_temperature",11,16.7390129089356
2022-11-14,"BARC","eastward_wind",11,-1.97603246072928
2022-11-14,"BARC","northward_wind",11,-1.97603246072928
2022-11-14,"BARC","precipitation_flux",11,4.62962978485006e-06
2022-11-14,"BARC","relative_humidity",11,0.628132708867391
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",11,347.25
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",11,106
2022-11-14,"BARC","air_pressure",12,101435.802408854
2022-11-14,"BARC","air_temperature",12,16.1441922505697
2022-11-14,"BARC","eastward_wind",12,-1.98000869775812
2022-11-14,"BARC","northward_wind",12,-1.98000869775812
2022-11-14,"BARC","precipitation_flux",12,4.62962978485006e-06
2022-11-14,"BARC","relative_humidity",12,0.646249698003133
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",12,330.831329345703
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",12,150.75
2022-11-14,"BARC","air_pressure",13,101536.901367188
2022-11-14,"BARC","air_temperature",13,17.4560907999675
2022-11-14,"BARC","eastward_wind",13,-1.30724107474089
2022-11-14,"BARC","northward_wind",13,-1.30724107474089
2022-11-14,"BARC","precipitation_flux",13,3.47222236019594e-06
2022-11-14,"BARC","relative_humidity",13,0.607895933787028
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",13,363.081329345703
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",13,95.75
2022-11-14,"BARC","air_pressure",14,101452.269856771
2022-11-14,"BARC","air_temperature",14,17.4717831929525
2022-11-14,"BARC","eastward_wind",14,-1.9869163458546
2022-11-14,"BARC","northward_wind",14,-1.9869163458546
2022-11-14,"BARC","precipitation_flux",14,9.25925939723297e-06
2022-11-14,"BARC","relative_humidity",14,0.630219836235046
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",14,351.5
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",14,140.75
2022-11-14,"BARC","air_pressure",15,101508.467773438
2022-11-14,"BARC","air_temperature",15,15.5163363138835
2022-11-14,"BARC","eastward_wind",15,-1.37046416910986
2022-11-14,"BARC","northward_wind",15,-1.37046416910986
2022-11-14,"BARC","precipitation_flux",15,0
2022-11-14,"BARC","relative_humidity",15,0.590265666643778
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",15,328.831329345703
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",15,114.5
2022-11-14,"BARC","air_pressure",16,101540.908528646
2022-11-14,"BARC","air_temperature",16,16.0025487263998
2022-11-14,"BARC","eastward_wind",16,-2.36576788624128
2022-11-14,"BARC","northward_wind",16,-2.36576788624128
2022-11-14,"BARC","precipitation_flux",16,1.15740742465412e-06
2022-11-14,"BARC","relative_humidity",16,0.643861327171326
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",16,344.75
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",16,135.5
2022-11-14,"BARC","air_pressure",17,101453.880208333
2022-11-14,"BARC","air_temperature",17,18.2184033711752
2022-11-14,"BARC","eastward_wind",17,-2.20858142276605
2022-11-14,"BARC","northward_wind",17,-2.20858142276605
2022-11-14,"BARC","precipitation_flux",17,8.10185188634528e-06
2022-11-14,"BARC","relative_humidity",17,0.658572347958883
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",17,359.182647705078
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",17,137.5
2022-11-14,"BARC","air_pressure",18,101598.375976562
2022-11-14,"BARC","air_temperature",18,15.1964752197266
2022-11-14,"BARC","eastward_wind",18,-2.38485804200172
2022-11-14,"BARC","northward_wind",18,-2.38485804200172
2022-11-14,"BARC","precipitation_flux",18,2.31481484930824e-06
2022-11-14,"BARC","relative_humidity",18,0.681300932566325
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",18,330.5
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",18,137.75
2022-11-14,"BARC","air_pressure",19,101567.693684896
2022-11-14,"BARC","air_temperature",19,15.7200869242351
2022-11-14,"BARC","eastward_wind",19,-2.15737577279409
2022-11-14,"BARC","northward_wind",19,-2.15737577279409
2022-11-14,"BARC","precipitation_flux",19,0
2022-11-14,"BARC","relative_humidity",19,0.644381928443909
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",19,338.5
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",19,133.5
2022-11-14,"BARC","air_pressure",20,101531.509765625
2022-11-14,"BARC","air_temperature",20,16.9254575093588
2022-11-14,"BARC","eastward_wind",20,-1.84831699977318
2022-11-14,"BARC","northward_wind",20,-1.84831699977318
2022-11-14,"BARC","precipitation_flux",20,1.15740742465412e-06
2022-11-14,"BARC","relative_humidity",20,0.692198576927185
2022-11-14,"BARC","surface_downwelling_longwave_flux_in_air",20,350.626235961914
2022-11-14,"BARC","surface_downwelling_shortwave_flux_in_air",20,67.75
