"datetime","site_id","variable","observation"
2017-08-27,"BARC","chla",NA
2017-08-27,"BARC","oxygen",NA
2017-08-27,"BARC","temperature",31.4671126760563
2017-08-28,"BARC","chla",NA
2017-08-28,"BARC","oxygen",NA
2017-08-28,"BARC","temperature",31.0997916666667
2017-08-29,"BARC","chla",NA
2017-08-29,"BARC","oxygen",NA
2017-08-29,"BARC","temperature",31.0402816901408
2017-08-30,"BARC","chla",NA
2017-08-30,"BARC","oxygen",NA
2017-08-30,"BARC","temperature",31.2969014084507
2017-08-31,"BARC","chla",NA
2017-08-31,"BARC","oxygen",NA
2017-08-31,"BARC","temperature",31.6564084507042
2017-09-01,"BARC","chla",NA
2017-09-01,"BARC","oxygen",NA
2017-09-01,"BARC","temperature",31.5678472222222
2017-09-02,"BARC","chla",NA
2017-09-02,"BARC","oxygen",NA
2017-09-02,"BARC","temperature",31.0552112676056
2017-09-03,"BARC","chla",NA
2017-09-03,"BARC","oxygen",NA
2017-09-03,"BARC","temperature",30.9398591549296
2017-09-04,"BARC","chla",NA
2017-09-04,"BARC","oxygen",NA
2017-09-04,"BARC","temperature",31.3138194444444
2017-09-05,"BARC","chla",NA
2017-09-05,"BARC","oxygen",NA
2017-09-05,"BARC","temperature",30.9532638888889
2017-09-06,"BARC","chla",NA
2017-09-06,"BARC","oxygen",NA
2017-09-06,"BARC","temperature",30.7768055555556
2017-09-07,"BARC","chla",NA
2017-09-07,"BARC","oxygen",NA
2017-09-07,"BARC","temperature",30.4899295774648
2017-09-08,"BARC","chla",NA
2017-09-08,"BARC","oxygen",NA
2017-09-08,"BARC","temperature",30.1653472222222
2017-09-09,"BARC","chla",NA
2017-09-09,"BARC","oxygen",NA
2017-09-09,"BARC","temperature",29.7490972222222
2017-09-10,"BARC","chla",NA
2017-09-10,"BARC","oxygen",NA
2017-09-10,"BARC","temperature",28.92
2017-09-11,"BARC","chla",NA
2017-09-11,"BARC","oxygen",NA
2017-09-11,"BARC","temperature",27.1283098591549
2017-09-12,"BARC","chla",NA
2017-09-12,"BARC","oxygen",NA
2017-09-12,"BARC","temperature",26.5694444444444
2017-09-13,"BARC","chla",NA
2017-09-13,"BARC","oxygen",NA
2017-09-13,"BARC","temperature",27.2163194444444
2017-09-14,"BARC","chla",NA
2017-09-14,"BARC","oxygen",NA
2017-09-14,"BARC","temperature",28.2188405797101
2017-09-15,"BARC","chla",NA
2017-09-15,"BARC","oxygen",NA
2017-09-15,"BARC","temperature",29.0443939393939
2017-09-16,"BARC","chla",NA
2017-09-16,"BARC","oxygen",NA
2017-09-16,"BARC","temperature",29.2605714285714
2017-09-17,"BARC","chla",NA
2017-09-17,"BARC","oxygen",NA
2017-09-17,"BARC","temperature",28.839375
2017-09-18,"BARC","chla",NA
2017-09-18,"BARC","oxygen",NA
2017-09-18,"BARC","temperature",28.7936805555556
2017-09-19,"BARC","chla",NA
2017-09-19,"BARC","oxygen",NA
2017-09-19,"BARC","temperature",28.6960416666667
2017-09-20,"BARC","chla",NA
2017-09-20,"BARC","oxygen",NA
2017-09-20,"BARC","temperature",28.9636428571429
2017-09-21,"BARC","chla",NA
2017-09-21,"BARC","oxygen",NA
2017-09-21,"BARC","temperature",29.1863571428571
2017-09-22,"BARC","chla",NA
2017-09-22,"BARC","oxygen",NA
2017-09-22,"BARC","temperature",28.9988194444444
